આફ્રિકા	África
સપ્ટેમ્બર ૧૧	11 de septiembre
સપ્ટેમ્બર ૭	7 de septiembre
સપ્ટેમ્બર ૧૦	10 de septiembre
સપ્ટેમ્બર ૫	5 de septiembre
સપ્ટેમ્બર ૪	4 de septiembre
સપ્ટેમ્બર ૯	9 de septiembre
સપ્ટેમ્બર ૨	2 de septiembre
સપ્ટેમ્બર ૬	6 de septiembre
સપ્ટેમ્બર ૧	1 de septiembre
સપ્ટેમ્બર ૩	3 de septiembre
ડિસેમ્બર ૨૯	29 de diciembre
સપ્ટેમ્બર ૩૦	30 de septiembre
સપ્ટેમ્બર ૨૯	29 de septiembre
સપ્ટેમ્બર ૨૮	28 de septiembre
સપ્ટેમ્બર ૨૭	27 de septiembre
સપ્ટેમ્બર ૨૬	26 de septiembre
સપ્ટેમ્બર ૨૫	25 de septiembre
સપ્ટેમ્બર ૨૩	23 de septiembre
સપ્ટેમ્બર ૨૨	22 de septiembre
સપ્ટેમ્બર ૨૪	24 de septiembre
સપ્ટેમ્બર ૨૧	21 de septiembre
સપ્ટેમ્બર ૨૦	20 de septiembre
સપ્ટેમ્બર ૧૮	18 de septiembre
સપ્ટેમ્બર ૧૭	17 de septiembre
સપ્ટેમ્બર ૧૯	19 de septiembre
સપ્ટેમ્બર ૧૬	16 de septiembre
ડિસેમ્બર ૩૦	30 de diciembre
ડિસેમ્બર ૩૧	31 de diciembre
ઓક્ટોબર ૧	1 de octubre
ઓક્ટોબર ૧૫	15 de octubre
ઓક્ટોબર ૧૨	12 de octubre
ઓક્ટોબર ૧૦	10 de octubre
ઓક્ટોબર ૧૪	14 de octubre
ઓક્ટોબર ૯	9 de octubre
ઓક્ટોબર ૮	8 de octubre
ઓક્ટોબર ૧૩	13 de octubre
ઓક્ટોબર ૭	7 de octubre
ઓક્ટોબર ૧૧	11 de octubre
ઓક્ટોબર ૬	6 de octubre
ઓક્ટોબર ૪	4 de octubre
ઓક્ટોબર ૫	5 de octubre
ઓક્ટોબર ૩	3 de octubre
ઓક્ટોબર ૨	2 de octubre
બકરી	Capra aegagrus hircus
ઓક્ટોબર ૩૧	31 de octubre
ઓક્ટોબર ૩૦	30 de octubre
ઓક્ટોબર ૨૯	29 de octubre
ઓક્ટોબર ૨૮	28 de octubre
ઓક્ટોબર ૨૬	26 de octubre
ઓક્ટોબર ૨૫	25 de octubre
ઓક્ટોબર ૨૪	24 de octubre
ઓક્ટોબર ૨૭	27 de octubre
ઓક્ટોબર ૨૨	22 de octubre
ઓક્ટોબર ૨૩	23 de octubre
ઓક્ટોબર ૨૦	20 de octubre
ઓક્ટોબર ૨૧	21 de octubre
ઓક્ટોબર ૧૯	19 de octubre
ઓક્ટોબર ૧૭	17 de octubre
ઓક્ટોબર ૧૬	16 de octubre
ઓક્ટોબર ૧૮	18 de octubre
નવેમ્બર ૧૫	15 de noviembre
નવેમ્બર ૧૪	14 de noviembre
નવેમ્બર ૧૩	13 de noviembre
નવેમ્બર ૧૨	12 de noviembre
નવેમ્બર ૧૧	11 de noviembre
નવેમ્બર ૧૦	10 de noviembre
નવેમ્બર ૭	7 de noviembre
નવેમ્બર ૮	8 de noviembre
નવેમ્બર ૯	9 de noviembre
નવેમ્બર ૬	6 de noviembre
નવેમ્બર ૫	5 de noviembre
નવેમ્બર ૪	4 de noviembre
નવેમ્બર ૩	3 de noviembre
નવેમ્બર ૨	2 de noviembre
નવેમ્બર ૧	1 de noviembre
પારામારિબો	Paramaribo
નવેમ્બર ૩૦	30 de noviembre
નવેમ્બર ૨૯	29 de noviembre
નવેમ્બર ૨૮	28 de noviembre
નવેમ્બર ૨૭	27 de noviembre
નવેમ્બર ૨૬	26 de noviembre
નવેમ્બર ૨૫	25 de noviembre
નવેમ્બર ૨૩	23 de noviembre
નવેમ્બર ૨૪	24 de noviembre
નવેમ્બર ૨૧	21 de noviembre
નવેમ્બર ૨૦	20 de noviembre
નવેમ્બર ૨૨	22 de noviembre
નવેમ્બર ૧૯	19 de noviembre
નવેમ્બર ૧૮	18 de noviembre
નવેમ્બર ૧૭	17 de noviembre
નવેમ્બર ૧૬	16 de noviembre
કાઠમંડુ	Katmandú
સીડની	Sídney
મેલબોર્ન	Melbourne
પર્થ	Perth
નાઈલ નદી	Nilo
કોંગો નદી	Río Congo
ધૂમકેતુ	Cometa
જાકાર્તા	Yakarta
જાવા (ટાપુ)	Java (isla)
એડિડાસ	Adidas
વિકિપીડિયા:પ્રયોગસ્થળ	Wikipedia:Zona de pruebas
વિકિપીડિયા:સ્વાગત	Ayuda:Introducción
કમ્પ્યુટર હાર્ડવેર	Hardware
નકશો	Mapa
નવસાર	Amoníaco
ડૉંગ હેકટર એરપોર્ટ	Aeropuerto de Đồng Hới
શૂન્યાવકાશ	Espacio exterior
આત્મકથા	Autobiografía
ખગોળીય દૂરબીન	Telescopio
માઇલી સાઇરસ	Miley Cyrus
માર્જરિન	Margarina
મધરબોર્ડ	Placa base
USB ડ્રાઇવ	Memoria USB
પંજાબ (પાકિસ્તાન)	Provincia de Punyab (Pakistán)
મહાબોધિ મંદિર	Conjunto de templos de Mahabodhi
સહ્યાદ્રિ પર્વતમાળા	Ghats occidentales
ભારતની પર્વતીય રેલ્વે	Ferrocarriles de montaña de la India
કન્ફ્યુશિયસ	Confucio
કોર્બીન બ્લુ	Corbin Bleu
શ્રેણી:ગણિત	Categoría:Matemáticas
ફરો દ્વિપસમૂહ	Islas Feroe
સુરત	Surat
સાયપ્રસનો રાષ્ટ્રધ્વજ	Bandera de Chipre
ઢાંચો:Country data Iran	Plantilla:Geodatos Irán
બાલી	Bali
માળો (પક્ષી)	Nido
લૅરી પેજ	Larry Page
ગંગા નદી	Ganges
સેલિન ડીયોન	Céline Dion
ખંડ	Continente
એડિલેઇડ	Adelaida (Australia)
પક્ષી	Aves
રાજધાની	Capital (política)
ગુજરાતી ભાષા	Idioma guyaratí
મહિનો	Mes
ઢાંચો:Portal	Plantilla:Portal
હુઆંગ ઝીયાન-ફાન	Huang Xianfan
બિલ ગેટ્સ	Bill Gates
કમ્પ્યુટર મોનિટર	Monitor de computadora
જ્ઞાનકોશ	Enciclopedia
મુખપૃષ્ઠ	Wikipedia:Portada
સિંધવ	Halita
બાસ્કેટબોલ (રમત)	Baloncesto
ક્રિકેટ	Críquet
યુરેશીયા	Eurasia
હિમાલય	Himalaya
કેપ ટાઉન	Ciudad del Cabo
કેસ્પિયન સમુદ્ર	Mar Caspio
વિન્સેન્ટ વેન ગો	Vincent van Gogh
વૅલેન્શિયા નો પ્રદેશ	Comunidad Valenciana
મોહેં-જો-દડો	Mohenjo-Daro
પેટ્રા	Petra
એવર્ટન ફૂટબોલ ક્લબ	Everton Football Club
મક્કા	La Meca
ચે ગૂવેરા	Ernesto Guevara
નોવાક યોકોવિચ	Novak Djokovic
એરબસ એ ૩૮૦	Airbus A380
ચિચેન ઇત્ઝા	Chichén Itzá
તમિલ ભાષા	Idioma tamil
ચા	Té
માર્કો પોલો	Marco Polo
પોર્ટલેન્ડ, ઑરેગોન	Portland
મૂડીવાદ	Capitalismo
દેશ	País
હિલેરી ક્લિન્ટન	Hillary Clinton
કોનકોર્ડ	Concorde
ડોનાલ્ડ ડક	Pato Donald
સ્ટ્રાસબોર્ગ (ફ્રાન્સ)	Estrasburgo
ક્રોએશિયન ભાષા	Idioma croata
શેતાન	Diablo
રેનો	Renault
કાલિદાસ	Kalidasa
ઉલ્કાઓ	Meteoroide
ગૌતમ બુદ્ધ	Buda (concepto)
જૈવ તકનીક	Biotecnología
વિશ્વ બેંક	Banco Mundial
લોકશાહી	Democracia
વૈશ્વિકરણ	Globalización
નોબૅલ પારિતોષિક	Premio Nobel
ઇંગ્લેન્ડના એલિઝાબેથ પ્રથમ	Isabel I de Inglaterra
રવિન્દ્રનાથ ટાગોર	Rabindranath Tagore
માર્ક ટ્વેઇન	Mark Twain
ઍલન ટ્યુરિંગ	Alan Turing
આતંકવાદ	Terrorismo
નાઝીવાદ	Nazismo
વાસ્કો દ ગામા	Vasco da Gama
સિંધુ	Río Indo
કાન	Oído
આંખ	Ojo
ગીત	Canción
કીડી	Formicidae
આન્દ્રે અગાસી	Andre Agassi
રીંગણ	Solanum melongena
હિમવર્ષા	Nieve
ડેબિયન	Debian
વિશ્વ વેપાર સંગઠન	Organización Mundial del Comercio
ચાઇનીઝ ભાષા	Idioma chino
કુદરત	Naturaleza
રક્ત	Sangre
કંકાલતંત્ર	Esqueleto
ફેફસાં	Pulmones
મેઘ	Lluvia
વૈશ્વિક ઉષ્ણતા	Calentamiento global
ધરતીકંપ	Terremoto
સત્ય	Verdad
કોમ્પ્યુટર માઉસ	Ratón (informática)
નેલ્સન મંડેલા	Nelson Mandela
માર્ટિન લ્યૂથર કિંગ	Martin Luther King
અવતરણ ચિહ્ન	Comillas
કુદરતી આફતો	Desastre natural
પૂર	Inundación
સુનામી	Tsunami
જ્વાળામુખી	Volcán
વાદળ	Nube
ત્રિકોણમિતિ	Trigonometría
ભૂમિતિ	Geometría
તેલુગુ ભાષા	Idioma télugu
ગ્રીક મૂળાક્ષરો	Alfabeto griego
શ્રેણી:ફ્રાન્સ	Categoría:Francia
શ્રેણી:સંગીત	Categoría:Música
શ્રેણી:સાહિત્ય	Categoría:Literatura
નવલકથા	Novela
મહાભારત	Majabhárata
હેરી પોટર	Harry Potter
મશક વાજું	Gaita
પીડોફિલિયા (બાળ યૌનશોષણ)	Pedofilia
સિકંદર	Alejandro Magno
સંસ્કૃતિ	Civilización
પુરુષ	Varón
લગ્ન	Matrimonio
ફાંસીની સજા	Pena de muerte
ગુલામી પ્રથા	Esclavitud
દૂધ	Leche
પર્વત	Montaña
અશોક	Aśoka
અકબર	Akbar
હોંગકોંગ	Hong Kong
કરાચી	Karachi
લાગોસ	Lagos
આર્કિમીડીઝ	Arquímedes
થૉમસ ઍડિસન	Thomas Alva Edison
યુક્લિડ	Euclides
ડોમેન નામ પ્રણાલી	Domain Name System
સંકેતલિપિ	Criptografía
ઈન્ટરનેટ પ્રોટોકોલ	Internet Protocol
પ્રસારણ નિયંત્રણ પ્રોટોકોલ	Transmission Control Protocol
યુનિકોડ	Unicode
સત્યજીત રે	Satyajit Ray
નક્ષત્ર	Constelación
નૉર્વેજિયન ભાષા	Idioma noruego
ચાણક્ય	Chanakia
બાગમતી પ્રાંત (નેપાળ)	Zona de Bagmati
નોઆમ ચોમ્સ્કી	Noam Chomsky
ભેરી પ્રાંત (નેપાળ)	Zona de Bheri
મુસા	Moisés
ધવલાગિરી પ્રાંત (નેપાળ)	Zona de Dhawalagiri
હિંદુ ધર્મ	Hinduismo
અણુ	Átomo
પ્રકાશ	Luz
ગંડકી પ્રાંત (નેપાળ)	Zona de Gandaki
તાજ મહેલ	Taj Mahal
જનકપુર પ્રાંત (નેપાળ)	Zona de Janakpur
ઇ-મેઇલ	Correo electrónico
કર્ણાલી પ્રાંત (નેપાળ)	Zona de Karnali
ફારસી ભાષા	Idioma persa
કોશી પ્રાંત (નેપાળ)	Zona de Kosi
લુમ્બિની પ્રાંત (નેપાળ)	Zona de Lumbini
મહાકાલી પ્રાંત (નેપાળ)	Zona de Mahakali
મેચી પ્રાંત (નેપાળ)	Zona de Mechi
ઇબ્રાહિમ	Abraham
નારાયણી પ્રાંત (નેપાળ)	Zona de Narayani
રાપ્તી પ્રાંત (નેપાળ)	Zona de Rapti
સગરમાથા પ્રાંત (નેપાળ)	Zona de Sagarmatha
સેતી પ્રાંત (નેપાળ)	Zona de Seti
યુનાઇટેડ સ્ટેટ્સ આર્મી	Ejército de los Estados Unidos
લુમ્બિની	Lumbini
જૈન ધર્મ	Jainismo
યહૂદી ધર્મ	Judaísmo
લાઓત્સે	Lao-Tsé
જીમેઇલ	Gmail
યોગ	Yoga
સિમા કીઆન	Sima Qian
મનોવિજ્ઞાન	Psicología
મહાવીર સ્વામી	Mahavira
ટિમ્બક્ટુ	Tombuctú
ઋષભ દેવ	Rishabha (tirthankara jaina)
દિગંબર	Digambar
લોથલ	Lothal
વલ્લભભાઈ પટેલ	Sardar Vallabhbhai Patel
મુહમ્મદ	Mahoma
ખેડબ્રહ્મા	Khedbrahma
ધોળાવીરા	Dholavira
આઇપોડ	IPod
સચિન તેંડુલકર	Sachin Tendulkar
અબ્દુલ કલામ	Abdul Kalam
બીબીસી	BBC
શાહરૂખ ખાન	Shahrukh Khan
સલમાન ખાન	Salman Khan (actor)
કૅટરિના કૈફ	Katrina Kaif
આમિર ખાન	Aamir Khan
અમિતાભ બચ્ચન	Amitabh Bachchan
કન્ફયુસીયસ ધર્મ	Confucianismo
તાઓ ધર્મ	Taoísmo
જરથોસ્તી ધર્મ	Zoroastrismo
બંગાળી ભાષા	Idioma bengalí
જીભ	Lengua (anatomía)
ચેલ્સી ફૂટબોલ ક્લબ	Chelsea Football Club
આર્સેનલ ફૂટબોલ ક્લબ	Arsenal Football Club
સ્વાદુપિંડ	Páncreas
ફૉકલેન્ડ ટાપુઓ	Islas Malvinas
બ્લૂઝ	Blues
ઇરોડ	Erode
સેલમ	Salem (Tamil Nadu)
કોઇમ્બતુર	Coimbatore
ઊટકામંડ	Udhagamandalam
મૈસૂર	Mysore
રફેલ નડાલ	Rafael Nadal
રાહુલ ગાંધી	Rahul Gandhi
ભારતીય રાષ્ટ્રીય કોંગ્રેસ	Congreso Nacional Indio
ભારતીય જનતા પાર્ટી	Bharatiya Janata Party
દિવાળી	Diwali
દરિયાઈ બોગદું (ઇંગ્લેન્ડ-ફ્રાન્સ)	Eurotúnel
હોળી	Holi
પાયથાગોરસ	Pitágoras
નવરાત્રી	Navratri
કુંભ મેળો	Kumbhamela
કોલોસીયમ	Coliseo
સપ્તર્ષિ	El Carro (asterismo)
ડેવિડ બેકહામ	David Beckham
આવર્ત કોષ્ટક	Tabla periódica de los elementos
કબૂતર	Columbidae
અંધાપો	Ceguera
ચીઝ	Queso
દ્રાક્ષ	Uva
ટાઇગર વુડ્સ	Tiger Woods
બટાકાં	Solanum tuberosum
શાકભાજી	Verdura
સ્નૂકર	Snooker
ઇજનેરી	Ingeniería
પ્રત્યાયન	Comunicación
સંસ્કૃત ભાષા	Sánscrito
રુધિરાભિસરણ તંત્ર	Aparato circulatorio
IPv4	IPv4
IP એડ્રેસ	Dirección IP
પ્રશ્નચિહ્ન	Signo de interrogación
વર્લ્ડ ટ્રેડ સેન્ટર	World Trade Center
ફ્રિડમ ટાવર	One World Trade Center
મીઠું	Sal
ફિડલ કાસ્ટ્રો	Fidel Castro
મેનહટન	Manhattan
તત્વ	Elemento químico
આર્યભટ્ટ	Aryabhata
શિવ	Shiva
વિષ્ણુ	Visnú
લોકલ એરિયા નેટવર્ક	Red de área local
વાઈડ એરિયા નેટવર્ક	Red de área amplia
વિદ્યુત-ચુંબકીય તરંગો	Radiación electromagnética
બ્રહ્મા	Brahma
બળ	Fuerza
ચુંબકીયક્ષેત્ર	Campo magnético
ગુરુત્વાકર્ષણ	Gravedad
માર્શલ આર્ટસ	Arte marcial
જુડો	Judo
દળ	Masa
ધાતુ	Metal
વાયુ	Gas
પ્રવાહી	Líquido
ઘન	Sólido
કૃષિ	Agricultura
કપડાં	Ropa
તાપમાન	Temperatura
ધાતુશાસ્ત્ર	Metalurgia
કાગળ	Papel
ક્ષેત્રફળ	Área
દેનપસાર	Denpasar
સેકન્ડ	Segundo
મકાઈ	Zea mays
માટીકામ	Alfarería
સ્ટેફી ગ્રાફ	Steffi Graf
હવામાન	Tiempo atmosférico
લાહોર	Lahore
મેસોપોટેમીયા	Mesopotamia
પ્રાચીન ઇજિપ્ત	Antiguo Egipto
ગુપ્ત સામ્રાજ્ય	Imperio Gupta
સ્લીપિંગ બ્યૂટી	La bella durmiente
સિન્ડ્રેલા	Cenicienta
રાજકોટ	Rajkot
જુનાગઢ	Junagadh
વડોદરા	Vadodara
ગાંધીનગર	Gandhinagar
મિકી માઉસ	Mickey Mouse
પ્રકાશસંશ્લેષણ	Fotosíntesis
કર્કરોગ (કેન્સર)	Cáncer
ઘઉં	Triticum
બધિરતા	Sordera
ગ્રેગોરીયન પંચાંગ	Calendario gregoriano
