افريقا	África
وېشنيزه:د قاجاريانو حکمرانان	Categoría:Dinastía kayar
وېشنيزه:افغاني ګوندونه	Categoría:Partidos políticos de Afganistán
کينډۍ:د هېواد مالومات اسپانيا	Plantilla:Geodatos España
کينډۍ:د هېواد مالومات کاناډا	Plantilla:Geodatos Canadá
کينډۍ:د هېواد مالومات بربادوس	Plantilla:Geodatos Barbados
کينډۍ:د هېواد مالومات ګرېنادا	Plantilla:Geodatos Granada
کينډۍ:د هېواد مالومات اردن	Plantilla:Geodatos Jordania
کينډۍ:د هېواد مالومات قرغزستان	Plantilla:Geodatos Kirguistán
کينډۍ:د هېواد مالومات لېسوتو	Plantilla:Geodatos Lesoto
کينډۍ:د هېواد مالومات لايبېريا	Plantilla:Geodatos Liberia
کينډۍ:د هېواد مالومات ملاوي	Plantilla:Geodatos Malaui
کينډۍ:د هېواد مالومات مالديپ	Plantilla:Geodatos Maldivas
کينډۍ:د هېواد مالومات ماورېشوس	Plantilla:Geodatos Mauricio
کينډۍ:د هېواد مالومات مغولستان	Plantilla:Geodatos Mongolia
کينډۍ:د هېواد مالومات نايجېر	Plantilla:Geodatos Níger
کينډۍ:د هېواد مالومات فلسطين	Plantilla:Geodatos Palestina
کينډۍ:د هېواد مالومات پورټو ريکو	Plantilla:Geodatos Puerto Rico
کينډۍ:د هېواد مالومات راوانډا	Plantilla:Geodatos Ruanda
کينډۍ:د هېواد مالومات سېراليون	Plantilla:Geodatos Sierra Leona
کينډۍ:د هېواد مالومات سورينام	Plantilla:Geodatos Surinam
کينډۍ:د هېواد مالومات سوريه	Plantilla:Geodatos Siria
کينډۍ:د هېواد مالومات سېنگاپور	Plantilla:Geodatos Singapur
کينډۍ:د هېواد مالومات يوگانډا	Plantilla:Geodatos Uganda
کينډۍ:د هېواد مالومات ونواتو	Plantilla:Geodatos Vanuatu
کينډۍ:د هېواد مالومات يمن	Plantilla:Geodatos Yemen
کينډۍ:د هېواد مالومات زېمبيا	Plantilla:Geodatos Zambia
وېشنيزه:افغان جنګسالاران	Categoría:Señores de la guerra de Afganistán
کينډۍ:د هېواد مالومات اېرېتېريا	Plantilla:Geodatos Eritrea
کينډۍ:رنگ مالوماتبکس	Plantilla:Ficha de color
وېشنيزه:د آسیا هېوادونه	Categoría:Países de Asia
کينډۍ:Sw icon	Plantilla:Sw
وېشنيزه:مسافروړونکي الوتکې	Categoría:Aviones comerciales
کينډۍ:د هېواد مالومات عربي ټولنه	Plantilla:Geodatos Liga Árabe
وېشنيزه:د القلوید مواد	Categoría:Alcaloides
کينډۍ:د هېواد مالومات لوېديځه سحارا	Plantilla:Geodatos Sahara Occidental
کينډۍ:د هېواد مالومات د فالکلاند ټاپوان	Plantilla:Geodatos Islas Malvinas
نومونپوهنه	Terminología
کينډۍ:د هېواد مالومات ګونې	Plantilla:Geodatos Guinea
کينډۍ:د هېواد مالومات ګوينې بېساو	Plantilla:Geodatos Guinea-Bisáu
کينډۍ:وسله مالوماتبکس	Plantilla:Ficha de arma
وېشنيزه:د ټاټرا موټرونه	Categoría:Modelos de Tatra
وېشنيزه:ژبنيز ليکدودونه	Categoría:Ortografía por idioma
کينډۍ:غوږ شه	Plantilla:Multimedia
وېشنيزه:د ساسانیانو حکمرانان	Categoría:Dinastía sasánida
وېشنيزه:پښتو ادبیات	Categoría:Literatura en pastún
وېشنيزه:سنډ	Categoría:Sind
وېشنيزه:د افغانستان لومړي وزيران	Categoría:Primeros ministros de Afganistán
وېشنيزه:امريکايي بم غورځونکي الوتکې	Categoría:Bombarderos de Estados Unidos
کينډۍ:د هېواد مالومات مقدونيه	Plantilla:Geodatos República de Macedonia
وېشنيزه:مسلمان فيلسوفان	Categoría:Filósofos islámicos
وېشنيزه:ليکتوکي	Categoría:Papelería
وېشنيزه:بسونه	Categoría:Autobuses
وېشنيزه:تصوف	Categoría:Sufismo
وېشنيزه:ورکړېنې	Categoría:Impuestos
روژه (مياشت)	Ramadán (mes del calendario)
وېشنيزه:افغاني فلمونه	Categoría:Películas de Afganistán
وېشنيزه:امریکایی الوتکې	Categoría:Aeronaves militares de Estados Unidos
وېشنيزه:امريکايي سندرغاړې	Categoría:Cantantes femeninas de Estados Unidos
کينډۍ:د هېواد مالومات تانزانيا	Plantilla:Geodatos Tanzania
وېشنيزه:ټراکټورونه	Categoría:Tractores
کينډۍ:د هېواد مالومات سوماليا	Plantilla:Geodatos Somalia
وېشنيزه:پاکستاني جوماتونه	Categoría:Mezquitas de Pakistán
وېشنيزه:پښتو ژبه	Categoría:Idioma pastún
وېشنيزه:د چیک ولسمشران	Categoría:Presidentes de la República Checa
وېشنيزه:User en-1	Categoría:Wikipedia:Wikipedistas con nivel básico de inglés
وېشنيزه:اسلامپوهان	Categoría:Islamólogos
ويکيپېډيا:ځان زده کړه (د بحث مخونه)	Ayuda:Tutorial (páginas de discusión)
ويکيپېډيا:ځان زده کړه (په ياد ولره)	Ayuda:Tutorial (políticas)
کينډۍ:Userbox-level	Plantilla:Userbox-nivel
گنگسيت	Mareo
دويم بريدمن	Subteniente
ويکيپېډيا:ځان زده کړه (تړل او نور مالومات)	Ayuda:Tutorial (para terminar)
ويکيپېډيا:ځان زده کړه (ثبتونه)	Ayuda:Tutorial (registro)
ويکيپېډيا:ډ-ځ-پ/مخليدنه	Ayuda:Preguntas frecuentes/General
قيامت	Qiyamah
مولۍ	Raphanus sativus
ويکيپېډيا:ډ-ځ-پ/لوستونکي	Ayuda:Preguntas frecuentes/Lectores
سوفيست	Sofista
کينډۍ:د-ن-و-ا	Plantilla:IDDC
افغانستان او پاکستان کې د 2013 کال سېلابونه	Inundaciones en Afganistán y Pakistán de 2013
کينډۍ:د هېواد مالومات عمان	Plantilla:Geodatos Omán
کينډۍ:د هېواد مالومات موزمبيق	Plantilla:Geodatos Mozambique
کينډۍ:د هېواد مالومات کېمرون	Plantilla:Geodatos Camerún
Module:Roman	Módulo:Números
بېاتریکس فون شتورخ	Beatrix von Storch
کينډۍ:Infobox event	Plantilla:Ficha de evento
ځانګړی:اوسني بدلونونه	Especial:CambiosRecientes
Module:Coordinates	Módulo:Coordenadas
د اتریش د کار گوند	Partido del Trabajo de Austria
د پېښور پر پوځي ښوونځي بريد	Ataque en la escuela de Peshawar de 2014
